"YEAR","PROJECT_CODE","EVENT_ID","STATION_ID","GEAR_PERFORMANCE_CODE","USED_IN_ESTIMATE","STATION_TYPE_CODE","TOW_LENGTH_DESIGNATED","CATCH_WEIGHT"
"1989","T04","1989T04001","2-8","01","NO","Standard",0.990000,549.753952
"1989","T04","1989T04002","13","01","NO","Standard",0.990000,1555.368236
"1989","T04","1989T04003","8","01","NO","Standard",0.970000,467.200141
"1989","T04","1989T04004","1","01","NO","Standard",0.990000,1065.942069
"1989","T04","1989T04005","2","01","NO","Standard",1.020000,863.639872
"1989","T04","1989T04006","4","01","NO","Standard",1.010000,1290.470292
"1989","T04","1989T04007","2-2","01","NO","Standard",0.580000,2159.099681
"1989","T04","1989T04008","18","01","NO","Standard",1.020000,274.876976
"1989","T04","1989T04009","10","01","NO","Standard",1.010000,540.682105
"1989","T04","1989T04010","11","01","NO","Standard",1.060000,1310.881949
"1989","T04","1989T04011","8","20","NO","Standard",1.010000,161.478883
"1990","T04","1990T04001","9","01","YES","Standard",0.950000,513.466562
"1990","T04","1990T04002","10","01","YES","Standard",1.010000,344.730201
"1990","T04","1990T04003","12","01","YES","Standard",0.980000,1443.330921
"1990","T04","1990T04004","14","01","YES","Standard",0.560000,474.457619
"1990","T04","1990T04005","7","01","YES","Standard",0.730000,273.062606
"1990","T04","1990T04006","13","01","YES","Standard",0.510000,244.939879
"1990","T04","1990T04007","17","01","NO","Standard",1.040000,894.484153
"1990","T04","1990T04008","20","01","NO","Standard",0.990000,4535.923700
"1990","T04","1990T04009","21","01","NO","Standard",1.030000,2869.425332
"1990","T04","1990T04010","5","01","YES","Standard",1.020000,714.861575
"1990","T04","1990T04011","1","01","YES","Standard",1.010000,461.303440
"1990","T04","1990T04012","2","01","YES","Standard",1.010000,450.870815
"1990","T04","1990T04013","3","01","YES","Standard",1.010000,434.541490
"1990","T04","1990T04014","11","01","YES","Standard",0.970000,578.783864
"1990","T04","1990T04015","15","01","YES","Standard",1.020000,825.538113
"1990","T04","1990T04016","18","01","NO","Standard",1.000000,420.026534
"1990","T04","1990T04017","19","01","NO","Standard",1.020000,2267.961850
"1990","T04","1990T04018","4","01","YES","Standard",0.990000,849.124916
"1990","T04","1990T04019","6","01","YES","Standard",0.990000,1133.980925
"1990","T05","1990T05001","52","01","YES","Standard",0.500000,980.666703
"1990","T05","1990T05002","57","01","YES","Standard",0.980000,712.140020
"1990","T05","1990T05003","61","01","YES","Standard",0.460000,302.999703
"1990","T05","1990T05004","58","01","YES","Standard",1.000000,1305.438840
"1990","T05","1990T05005","60","01","YES","Standard",0.990000,1162.103651
"1990","T05","1990T05006","65","01","YES","Standard",1.020000,801.951310
"1990","T05","1990T05007","68","01","YES","Standard",1.010000,483.529466
"1990","T05","1990T05008","67","01","YES","Standard",1.010000,773.828583
"1990","T05","1990T05009","64","20","NO","Standard",0.510000,680.388555
"1990","T05","1990T05010","48","01","YES","Standard",1.000000,337.472723
"1990","T05","1990T05011","53","01","YES","Standard",1.010000,492.601313
"1990","T05","1990T05012","55","01","YES","Standard",0.990000,585.134157
"1990","T05","1990T05013","56","01","YES","Standard",1.020000,1602.995435
"1990","T05","1990T05014","51","01","YES","Standard",1.030000,1433.351889
"1990","T05","1990T05015","46","01","YES","Standard",1.010000,458.128293
"1990","T05","1990T05016","39","01","NO","Standard",0.530000,226.796185
"1990","T05","1990T05017","38","01","YES","Standard",1.000000,445.427707
"1990","T05","1990T05018","42","01","NO","Standard",1.040000,501.673161
"1990","T05","1990T05019","471","01","YES","Standard",1.000000,433.634305
"1990","T05","1990T05020","50","20","NO","Standard",0.980000,303.906887
"1990","T05","1990T05021","44","01","YES","Standard",1.000000,666.780783
"1990","T05","1990T05022","45","01","YES","Standard",0.710000,254.918911
"1990","T05","1990T05023","37","01","YES","Standard",1.000000,400.068470
"1990","T05","1990T05024","33","01","YES","Standard",0.880000,597.834743
"1990","T05","1990T05025","32","01","YES","Standard",1.000000,459.035478
"1990","T05","1990T05026","27","01","YES","Standard",0.980000,324.772136
"1990","T05","1990T05027","28","01","YES","Standard",0.990000,410.954687
"1990","T05","1990T05028","29","20","NO","Standard",0.410000,
"1990","T05","1990T05029","29","01","YES","Standard",1.020000,176.901024
"1990","T06","1990T06001","21","01","YES","Standard",1.000000,116.119646
"1990","T06","1990T06002","19","01","YES","Standard",1.000000,211.374044
"1990","T06","1990T06003","Q29","01","NO","Standard",1.040000,175.086654
"1990","T06","1990T06004","14","01","YES","Standard",1.010000,626.864655
"1990","T06","1990T06005","Q27","01","NO","Standard",1.000000,34.473020
"1990","T06","1990T06006","9","01","YES","Standard",1.010000,527.074333
"1990","T06","1990T06007","3","01","YES","Standard",1.000000,1042.355266
"1990","T06","1990T06008","Y24","01","NO","Standard",1.000000,547.032398
"1990","T06","1990T06009","V23","01","NO","Standard",1.060000,244.939879
"1990","T06","1990T06010","U23","01","NO","Standard",1.010000,420.933719
"1990","T06","1990T06011","105","01","YES","Standard",1.010000,311.164365
"1990","T06","1990T06012","108","01","YES","Standard",1.020000,171.457915
"1990","T06","1990T06013","103","01","YES","Standard",1.000000,151.499851
"1990","T06","1990T06014","111","01","YES","Standard",1.010000,143.335188
"1990","T06","1990T06015","112","01","YES","Standard",1.010000,101.604690
"1990","T06","1990T06016","S27","01","NO","Standard",1.010000,132.448972
"1990","T06","1990T06017","6","01","YES","Standard",1.000000,324.772136
"1991","T04","1991T04001","1","01","YES","Standard",1.000000,449.056446
"1991","T04","1991T04002","2","01","YES","Standard",1.010000,418.212165
"1991","T04","1991T04003","3","01","YES","Standard",1.020000,404.604394
"1991","T04","1991T04004","4","01","YES","Standard",1.030000,638.658056
"1991","T04","1991T04005","6","01","YES","Standard",1.090000,1057.777406
"1991","T04","1991T04006","20","01","NO","Standard",0.540000,696.717880
"1991","T04","1991T04007","21","01","NO","Standard",1.010000,447.242076
"1991","T04","1991T04008","19","01","NO","Standard",0.850000,278.505715
