"","Station","nmi","Pre4","Pre3","Pre2","Pre1","Recruit","Post","TotMales","JuvFems","MatFems","TotFems"
"1","101","0.5","7.0","4.0","2.0","0.0","0.0","0.0","13.0","4.0","0.0","4.0"
"2","102","0.5","13.0","45.0","14.0","0.0","1.0","0.0","73.0","21.0","0.0","21.0"
"3","103","0.5","16.0","9.0","3.0","0.0","0.0","0.0","28.0","13.0","1.0","14.0"
"4","104","0.5","6.0","5.0","0.0","0.0","0.0","0.0","11.0","9.0","0.0","9.0"
"5","105","0.5","2.0","6.0","1.0","0.0","0.0","0.0","9.0","4.0","0.0","4.0"
"6","106","0.5","8.0","5.0","4.0","0.0","0.0","0.0","17.0","9.9","1.1","11.0"
"7","107","0.5","30.0","41.0","4.0","1.0","0.0","0.0","76.0","2.0","43.0","45.0"
"8","108","0.5","1.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","4.0"
"9","109","0.5","1.0","2.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0"
"10","110","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","111","0.5","0.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","2.0"
"12","112","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","113","0.5","17.0","2.0","0.0","0.0","0.0","0.0","19.0","17.0","0.0","17.0"
"14","114","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0"
"15","116","0.5","11.6","3.9","34.8","158.7","31.0","0.0","240.0","23.0","91.0","114.0"
"16","117","0.5","3.0","2.0","1.0","2.0","0.0","0.0","8.0","3.0","2.0","5.0"
"17","118","0.5","2.6","10.4","39.0","103.9","18.2","0.0","174.0","67.3","191.7","259.0"
"18","119","0.5","16.0","5.0","1.0","0.0","0.0","0.0","22.0","5.0","0.0","5.0"
"19","120","0.5","23.0","3.0","0.0","0.0","0.0","0.0","26.0","15.0","0.0","15.0"
"20","121","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","6.0"
"21","122","0.5","13.0","2.0","2.0","1.0","0.0","0.0","18.0","12.0","0.0","12.0"
"22","123","0.5","7.0","0.0","0.0","0.0","0.0","0.0","7.0","8.0","0.0","8.0"
"23","124","0.5","0.0","34.3","45.7","257.0","45.7","11.4","394.0","60.8","650.2","711.0"
"24","125","0.5","3.2","14.2","29.9","58.3","7.9","1.6","115.0","8.0","0.0","8.0"
"25","126","0.5","445.5","2291.0","3118.4","4582.1","0.0","0.0","10437.0","2259.0","0.0","2259.0"
"26","127","0.5","0.0","0.0","19.6","117.8","58.9","15.7","212.0","15.0","27.0","42.0"
"27","128","0.5","0.0","17.7","44.2","283.2","97.3","26.5","469.0","8.0","193.0","201.0"
"28","129","0.5","2.0","1.0","3.0","22.0","4.0","0.0","32.0","6.0","20.0","26.0"
"29","130","0.5","1.0","0.0","5.2","50.1","14.6","0.0","71.0","3.1","218.9","222.0"
"30","131","0.5","5.0","2.0","4.0","16.0","3.0","2.0","32.0","5.0","46.0","51.0"
"31","132","0.4","0.0","1.0","2.0","9.0","3.0","1.0","16.0","0.0","14.0","14.0"
"32","133","0.5","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"33","134","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"34","135","0.5","0.0","0.0","0.0","1.0","0.0","1.0","2.0","1.0","1.0","2.0"
"35","136","0.5","3.0","6.0","10.0","8.0","3.0","0.0","30.0","27.0","55.0","82.0"
"36","137","0.5","4.0","0.0","2.0","0.0","1.0","0.0","7.0","10.0","5.0","15.0"
"37","138","0.5","1.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","2.0"
"38","140","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0"
"39","141","0.5","3.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0"
