"","Proj","Year","n","SM_CBar","SM_SD","LM_CBar","LM_SD","TM_CBar","TM_SD","TF_CBar","TF_SD"
"1","T04",1990,14,21.929495,36.1354934517297,0.352262,0.827170478196605,22.281757,36.7392056936456,40.247634,74.5665896162618
"2","T04",1991,15,11.999205,17.0488225106604,2.82812,4.85942198208799,14.827325,21.6560901826715,23.629886,39.3059614053644
"3","T04",1992,15,9.619151,15.0714339729171,4.348657,6.98522240161328,13.967808,21.7280177190649,35.131956,54.4101195642869
"4","T04",1993,16,4.213031,8.88599746792672,4.851154,8.11920889003356,9.064186,16.5886217329831,26.686366,87.4994240323901
"5","T04",1994,16,0.727444,1.39625141002615,1.51468,3.2076976166715,2.242124,4.42153943779766,6.047816,15.6784785932819
"6","T04",1995,16,9.061121,23.480005110732,0.536542,1.03322698377462,9.597663,23.6520108447464,6.050366,8.57598262591524
"7","T04",1996,16,7.512893,15.7401573689719,3.4761,6.04872341903645,10.988993,21.5475067699258,22.876668,40.2305250773589
"8","T04",1997,16,1.543234,3.29210525348143,0.553501,1.30897287978017,2.096735,3.69990067434249,5.302728,11.1586734426633
"9","T04",1998,16,0.32381,0.617578335112235,0.186905,0.401873114303508,0.510716,0.8234002671848,0.761249,1.50576625011985
"10","T04",1999,16,0.376447,0.877884388743757,0.621312,2.01069962948224,0.997759,2.72975694888757,1.481689,2.97195020146704
"11","T04",2000,16,0.313195,0.600806957349863,0.123774,0.338235125319651,0.436969,0.725262021617015,1.1215,2.26682465135705
"12","T04",2001,16,33.172079,84.5486174162535,0.310024,0.596876871724814,33.482104,84.950294019503,41.33849,134.832116934357
"13","T04",2002,14,5.428944,13.3272399243054,0.912457,2.12392325661734,6.341402,14.4940260107397,24.697406,66.4233594302486
"14","T04",2003,16,11.543242,20.287087617497,0.559783,1.08402444621881,12.103026,21.1495280089178,17.277045,38.5180088400218
"15","T04",2004,16,3.44657,6.52426325342563,0.875,2.27669343566498,4.32157,8.68614292997761,5.375656,13.3358128361191
"16","T04",2005,15,2.454939,3.50056738258243,0.856247,1.48329295825201,3.311186,4.3707058926448,2.69281,7.79612891119689
