"","PROJECT_CODE","YEAR","n","P4","P3","P2","P1","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_"
"1","T04",1990,14,496674,722894,613950,492692,388422,403617,2714634,1145882
"2","T04",1991,15,293894,277640,802800,848159,499815,226608,2722308,879693
"3","T04",1992,15,237159,125034,455057,902459,1055855,734287,2775565,1097301
"4","T04",1993,16,578321,89958,135248,325507,518498,254074,1647532,430628
"5","T04",1994,16,312332,210142,132840,158590,193199,106304,1007104,451486
"6","T04",1995,16,356090,389839,565725,506325,278365,296245,2096344,1299465
"7","T04",1996,16,186397,44644,522916,601084,101322,69836,1456364,1174485
"8","T04",1997,16,171929,123219,287722,325897,143111,80729,1051879,323965
"9","T04",1998,16,325474,19208,24005,195049,205808,190004,771087,373615
"10","T04",1999,16,911483,1160291,697642,200663,104282,91894,3074360,2743906
"11","T04",2000,16,513366,453588,390984,380557,82374,72974,1820868,754144
"12","T04",2001,16,1619958,655741,319106,392469,96951,61266,3084224,1995590
"13","T04",2002,14,2027607,1275475,499598,211036,88010,69895,4101726,2098934
"14","T04",2003,16,1228442,1188614,710246,288894,48717,52980,3464914,1726501
"15","T04",2004,16,671544,1119199,1037689,683921,110930,75834,3623284,1875763
"16","T04",2005,15,1043700,185975,186987,347339,45676,41786,1809679,1083062
"17","T04",2006,17,1029633,154678,230111,226338,224530,286932,1865289,1828893
"18","T04",2007,16,339466,92716,176167,373061,162504,238989,1143914,1252423
"19","T04",2008,16,552269,224880,159200,239726,105440,130955,1281516,787437
"20","T04",2009,15,1000556,643343,852512,554785,143882,141993,3195079,2338396
"21","T04",2011,37,4109517,159347,40208,94797,42660,40810,4447159,1983355
"22","T04",2012,37,2031199,2532088,188265,57085,20512,20105,4829149,1796356
"23","T04",2013,37,925729,680678,1390554,141245,38077,34026,3179046,975058
"24","T04",2017,38,234313,553408,230471,110673,7078,8329,1135943,806870
