"","Year","n","Uneyed","Eyed","None or remnant eggs"
"1","1990",459,0.899782135076253,0.00217864923747277,0.0980392156862745
"2","1991",1046,0.983747609942639,0,0.0162523900573614
"3","1992",387,0.987080103359173,0,0.0129198966408269
"4","1993",432,0.990740740740741,0,0.00925925925925926
"5","1994",513,0.98635477582846,0,0.01364522417154
"6","1995",299,0.983277591973244,0,0.0167224080267559
"7","1996",633,0.990521327014218,0,0.00947867298578199
"8","1997",102,1,0,0
"9","1998",98,1,0,0
"10","1999",139,1,0,0
"11","2001",483,1,0,0
"12","2005",219,1,0,0
"13","2006",35,1,0,0
"14","2007",100,1,0,0
"15","2008",125,1,0,0
"16","2009",866,0.922632794457275,0.0773672055427252,0
"17","2011",397,0.979848866498741,0.00251889168765743,0.017632241813602
"18","2012",566,0.971731448763251,0.00176678445229682,0.0265017667844523
"19","2013",1353,0.993348115299335,0.00221729490022173,0.00443458980044346
"20","2017",257,0.98443579766537,0,0.0155642023346304
