"","Event","t2","s1","s2","totSamp","na.rm","year","totCatch","length","t1","sTot","sCPM"
"1","1990T04001",49.391758,0,0,NA,TRUE,1990,513.466562,0.95,0,0,0
"2","1990T04002",54.627679,0,0,NA,TRUE,1990,344.730201,1.01,0,0,0
"3","1990T04003",33.19,0,0,NA,TRUE,1990,1443.330921,0.98,0,0,0
"4","1990T04004",35.581171,0,0,NA,TRUE,1990,474.457619,0.56,0,0,0
"5","1990T04005",31.946509,0,0,NA,TRUE,1990,273.062606,0.73,0,0,0
"6","1990T04006",35.39,0,0,NA,TRUE,1990,244.939879,0.51,0,0,0
"7","1990T04010",29.279617,0,0,NA,TRUE,1990,714.861575,1.02,0,0,0
"8","1990T04011",8.94,0,0,NA,TRUE,1990,461.30344,1.01,0,0,0
"9","1990T04012",28.526802,0,0,189.548981,TRUE,1990,450.870815,1.01,261.321834,0,0
"10","1990T04013",49.58302,0,0,NA,TRUE,1990,434.54149,1.01,0,0,0
"11","1990T04014",35.272139,2.721554,0,262.889816,TRUE,1990,578.783864,0.97,315.894048,2.721554,2.80572577319588
"12","1990T04015",33.209324,0,0,NA,TRUE,1990,825.538113,1.02,0,0,0
"13","1990T04018",33.918649,0,0,NA,TRUE,1990,849.124916,0.99,0,0,0
"14","1990T04019",32.599911,0,0,NA,TRUE,1990,1133.980925,0.99,0,0,0
"15","1991T04001",0,0,0,NA,TRUE,1991,449.056446,1,0,0,0
"16","1991T04002",0,0,0,NA,TRUE,1991,418.212165,1.01,0,0,0
"17","1991T04003",0,0,0,NA,TRUE,1991,404.604394,1.02,0,0,0
"18","1991T04004",0,0,0,NA,TRUE,1991,638.658056,1.03,0,0,0
"19","1991T04005",0,0,0,NA,TRUE,1991,1057.777406,1.09,0,0,0
"20","1991T04009",0,0,0,NA,TRUE,1991,2315.135456,1.03,0,0,0
"21","1991T04010",0,0,0,NA,TRUE,1991,1292.738254,0.98,0,0,0
"22","1991T04011",0,0,0,NA,TRUE,1991,483.529466,1.03,0,0,0
"23","1991T04012",0,0,0,NA,TRUE,1991,1251.007756,1.05,0,0,0
"24","1991T04013",0,0,0,NA,TRUE,1991,713.95439,1.04,0,0,0
"25","1991T04016",0,0,0,NA,TRUE,1991,1803.02967,1.04,0,0,0
"26","1991T04017",0,0,0,NA,TRUE,1991,848.217731,1.02,0,0,0
"27","1991T04018",0,0,0,NA,TRUE,1991,645.00835,1.04,0,0,0
"28","1991T04019",0,0,0,NA,TRUE,1991,744.798671,1,0,0,0
"29","1991T04020",0,0,0,NA,TRUE,1991,831.888406,0.99,0,0,0
"30","1992T04001",0,0,0,NA,TRUE,1992,695.810695,0.95,0,0,0
"31","1992T04002",0,0,0,NA,TRUE,1992,645.00835,1,0,0,0
"32","1992T04003",0,0,0,NA,TRUE,1992,610.53533,1.05,0,0,0
"33","1992T04004",0,0,0,NA,TRUE,1992,680.388555,0.98,0,0,0
"34","1992T04005",0,0,0,NA,TRUE,1992,458.128293,1,0,0,0
"35","1992T04006",0,0,0,NA,TRUE,1992,1151.217435,0.98,0,0,0
"36","1992T04007",0,0,0,NA,TRUE,1992,1352.612447,1,0,0,0
"37","1992T04008",0,0,0,NA,TRUE,1992,1569.4296,0.99,0,0,0
"38","1992T04009",0,0,0,NA,TRUE,1992,1061.406145,1.01,0,0,0
"39","1992T04010",0,0,0,NA,TRUE,1992,837.331515,1,0,0,0
"40","1992T04011",0,0,0,NA,TRUE,1992,492.601313,1.01,0,0,0
"41","1992T04012",0,0,0,NA,TRUE,1992,957.987085,0.97,0,0,0
"42","1992T04013",0,0,0,NA,TRUE,1992,1892.387367,1.01,0,0,0
"43","1992T04014",0,0,0,NA,TRUE,1992,1016.500501,1,0,0,0
"44","1992T04016",0,0,0,NA,TRUE,1992,950.729607,1.04,0,0,0
"45","1995T04013",31.751465,0,0,38.101757,TRUE,1995,1705.507311,0.5,1667.405554,0,0
"46","1995T04014",0,0,0,NA,TRUE,1995,1359.869925,1.02,0,0,0
"47","1995T04015",0,0,0,265.805123,TRUE,1995,1040.540896,1.03,774.735773,0,0
"48","1995T04016",65.317301,0,0,NA,TRUE,1995,1519.534439,1,0,0,0
"49","1993T04001",0,0,0,NA,TRUE,1993,422.748088,1.07,0,0,0
"50","1993T04002",0,0,0,NA,TRUE,1993,667.687968,1.04,0,0,0
"51","1993T04003",0,0,0,NA,TRUE,1993,498.044422,1,0,0,0
"52","1993T04004",0,0,0,117.026829,TRUE,1993,900.834446,0.76,783.807617,0,0
"53","1993T04005",0,0,0,NA,TRUE,1993,492.601313,1,0,0,0
"54","1993T04006",0,0,0,NA,TRUE,1993,982.481073,1.06,0,0,0
"55","1993T04007",0,0,0,NA,TRUE,1993,635.029318,1,0,0,0
"56","1993T04008",0,0,0,NA,TRUE,1993,762.942366,1,0,0,0
"57","1993T04009",0,0,0,188.006685,TRUE,1993,1310.881949,1.02,1122.875264,0,0
"58","1993T04010",0,0,0,NA,TRUE,1993,966.151748,1.02,0,0,0
"59","1993T04011",0,0,0,NA,TRUE,1993,1060.498961,0.99,0,0,0
"60","1993T04012",0,0,0,NA,TRUE,1993,2308.785163,1,0,0,0
"61","1993T04014",0,0,0,NA,TRUE,1993,1122.187523,1.01,0,0,0
"62","1993T04015",0,0,0,NA,TRUE,1993,1129.445001,1,0,0,0
"63","1993T04019",0,0,0,NA,TRUE,1993,1148.49588,1.01,0,0,0
"64","1993T04020",0,0,0,296.693299,TRUE,1993,1197.483856,1.06,900.790557,0,0
"65","1994T04001",0,0,0,NA,TRUE,1994,697.625065,1.1,0,0,0
"66","1994T04002",0,0,0,87.996916,TRUE,1994,350.173309,1.07,262.176393,0,0
"67","1994T04003",0,0.227,0,NA,TRUE,1994,597.834743,1.04,0,0.227,0.218269230769231
"68","1994T04004",0,0.453592,0,NA,TRUE,1994,537.053366,1,0,0.453592,0.453592
"69","1994T04005",0,0,0,NA,TRUE,1994,416.397795,1.04,0,0,0
